okay it better now but why it change from LIMIT_ACTIVE to PASS_THROUGH and imedely change to OVERSHOOT and go again to LIMIT_ACTIVE and analiytic the logs
[2026-01-15 13:34:15.705] Speed=52.0 km/h, RPM=1650, APS_in=(0.911V,1.758V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:15.804] Speed=52.0 km/h, RPM=1650, APS_in=(0.936V,1.779V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:15.912] Speed=52.0 km/h, RPM=1650, APS_in=(0.930V,1.777V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:16.021] Speed=52.0 km/h, RPM=1650, APS_in=(0.945V,1.793V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:16.134] Speed=52.0 km/h, RPM=1650, APS_in=(0.936V,1.783V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:16.239] Speed=52.0 km/h, RPM=1650, APS_in=(0.933V,1.779V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:16.354] Speed=52.0 km/h, RPM=1650, APS_in=(0.933V,1.780V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:16.462] Speed=52.0 km/h, RPM=1650, APS_in=(0.925V,1.770V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:16.571] Speed=52.0 km/h, RPM=1650, APS_in=(0.933V,1.785V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:16.571] Speed=52.0 km/h, RPM=1650, APS_in=(0.906V,1.757V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:16.682] Speed=52.0 km/h, RPM=1650, APS_in=(0.903V,1.757V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:16.787] Speed=52.0 km/h, RPM=1637, APS_in=(0.908V,1.761V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:16.900] Speed=52.0 km/h, RPM=1637, APS_in=(0.884V,1.716V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:17.004] Speed=52.0 km/h, RPM=1637, APS_in=(0.892V,1.728V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:17.120] Speed=52.0 km/h, RPM=1637, APS_in=(0.886V,1.728V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:17.230] Speed=52.0 km/h, RPM=1637, APS_in=(0.886V,1.723V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:17.337] Speed=52.0 km/h, RPM=1637, APS_in=(0.886V,1.722V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:17.455] Speed=52.0 km/h, RPM=1637, APS_in=(0.894V,1.736V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:17.555] Speed=52.0 km/h, RPM=1637, APS_in=(0.886V,1.723V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:17.671] Speed=52.0 km/h, RPM=1637, APS_in=(0.884V,1.717V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:17.671] Speed=52.0 km/h, RPM=1637, APS_in=(0.886V,1.723V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:17.770] Speed=52.0 km/h, RPM=1637, APS_in=(0.892V,1.738V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:17.881] Speed=52.0 km/h, RPM=1637, APS_in=(0.906V,1.744V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:17.988] Speed=52.0 km/h, RPM=1637, APS_in=(0.906V,1.744V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:18.103] Speed=52.0 km/h, RPM=1637, APS_in=(0.906V,1.738V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:18.213] Speed=52.0 km/h, RPM=1637, APS_in=(0.903V,1.738V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:18.320] Speed=52.0 km/h, RPM=1637, APS_in=(0.908V,1.747V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:18.434] Speed=52.0 km/h, RPM=1625, APS_in=(0.908V,1.754V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:18.537] Speed=52.0 km/h, RPM=1625, APS_in=(0.906V,1.741V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:18.655] Speed=52.0 km/h, RPM=1625, APS_in=(0.906V,1.744V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:18.754] Speed=52.0 km/h, RPM=1625, APS_in=(0.907V,1.744V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:18.871] Speed=52.0 km/h, RPM=1625, APS_in=(0.910V,1.752V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:18.871] Speed=52.0 km/h, RPM=1625, APS_in=(0.910V,1.751V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:18.986] Speed=52.0 km/h, RPM=1625, APS_in=(0.906V,1.741V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:19.088] Speed=52.0 km/h, RPM=1637, APS_in=(0.910V,1.751V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:19.204] Speed=52.0 km/h, RPM=1637, APS_in=(0.906V,1.742V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:19.301] Speed=52.0 km/h, RPM=1637, APS_in=(0.917V,1.757V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:19.421] Speed=52.0 km/h, RPM=1637, APS_in=(0.906V,1.747V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:19.521] Speed=52.0 km/h, RPM=1637, APS_in=(0.906V,1.751V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:19.634] Speed=52.0 km/h, RPM=1637, APS_in=(0.891V,1.738V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:19.738] Speed=52.0 km/h, RPM=1637, APS_in=(0.904V,1.742V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:19.853] Speed=52.0 km/h, RPM=1637, APS_in=(0.897V,1.738V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:19.961] Speed=52.0 km/h, RPM=1637, APS_in=(0.892V,1.735V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:20.071] Speed=52.0 km/h, RPM=1637, APS_in=(0.898V,1.738V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:20.071] Speed=52.0 km/h, RPM=1637, APS_in=(0.910V,1.751V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:20.178] Speed=52.0 km/h, RPM=1637, APS_in=(0.930V,1.769V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:20.290] Speed=52.0 km/h, RPM=1637, APS_in=(0.929V,1.772V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:20.400] Speed=52.0 km/h, RPM=1637, APS_in=(0.925V,1.764V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:20.510] Speed=52.0 km/h, RPM=1637, APS_in=(0.928V,1.770V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:20.616] Speed=52.0 km/h, RPM=1637, APS_in=(0.925V,1.770V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:20.732] Speed=52.0 km/h, RPM=1637, APS_in=(0.932V,1.777V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:20.838] Speed=52.0 km/h, RPM=1637, APS_in=(0.922V,1.761V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:20.952] Speed=52.0 km/h, RPM=1637, APS_in=(0.907V,1.750V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:21.056] Speed=52.0 km/h, RPM=1637, APS_in=(0.897V,1.738V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:21.172] Speed=52.0 km/h, RPM=1637, APS_in=(0.903V,1.742V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:21.172] Speed=52.0 km/h, RPM=1637, APS_in=(0.886V,1.728V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:21.270] Speed=52.0 km/h, RPM=1637, APS_in=(0.892V,1.736V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:21.379] Speed=52.0 km/h, RPM=1637, APS_in=(0.889V,1.736V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:21.487] Speed=52.0 km/h, RPM=1637, APS_in=(0.888V,1.730V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:21.604] Speed=52.0 km/h, RPM=1637, APS_in=(0.897V,1.738V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:21.722] Speed=52.0 km/h, RPM=1637, APS_in=(0.891V,1.738V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:21.821] Speed=52.0 km/h, RPM=1637, APS_in=(0.889V,1.735V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:21.937] Speed=52.0 km/h, RPM=1637, APS_in=(0.892V,1.736V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:22.038] Speed=52.0 km/h, RPM=1637, APS_in=(0.906V,1.750V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:22.146] Speed=52.0 km/h, RPM=1637, APS_in=(0.898V,1.738V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:22.254] Speed=52.0 km/h, RPM=1637, APS_in=(0.901V,1.744V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:22.368] Speed=52.0 km/h, RPM=1637, APS_in=(0.908V,1.754V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:22.368] Speed=52.0 km/h, RPM=1637, APS_in=(0.908V,1.751V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:22.487] Speed=52.0 km/h, RPM=1637, APS_in=(0.916V,1.758V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:22.585] Speed=52.0 km/h, RPM=1625, APS_in=(0.908V,1.755V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:22.698] Speed=52.0 km/h, RPM=1625, APS_in=(0.910V,1.754V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:22.804] Speed=52.0 km/h, RPM=1637, APS_in=(0.907V,1.751V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:22.918] Speed=52.0 km/h, RPM=1637, APS_in=(0.913V,1.754V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:23.023] Speed=52.0 km/h, RPM=1637, APS_in=(0.911V,1.757V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:23.137] Speed=52.0 km/h, RPM=1637, APS_in=(0.911V,1.755V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:23.238] Speed=52.0 km/h, RPM=1612, APS_in=(0.906V,1.741V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:23.354] Speed=52.0 km/h, RPM=1612, APS_in=(0.908V,1.751V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:23.467] Speed=52.0 km/h, RPM=1612, APS_in=(0.911V,1.755V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:23.467] Speed=52.0 km/h, RPM=1612, APS_in=(0.906V,1.745V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:23.572] Speed=52.0 km/h, RPM=1612, APS_in=(0.914V,1.757V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:23.689] Speed=52.0 km/h, RPM=1625, APS_in=(0.908V,1.754V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:23.788] Speed=52.0 km/h, RPM=1625, APS_in=(0.908V,1.754V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:23.904] Speed=52.0 km/h, RPM=1625, APS_in=(0.894V,1.738V), APS_out=(0.350V,0.900V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:23.904] STATE LIMIT_ACTIVE -> PASS_THROUGH
[2026-01-15 13:34:23.904] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:34:24.005] Speed=52.0 km/h, RPM=1625, APS_in=(0.894V,1.739V), APS_out=(0.910V,1.754V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:24.122] Speed=50.0 km/h, RPM=1625, APS_in=(0.894V,1.738V), APS_out=(0.902V,1.746V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=-25.00 km/h/s
[2026-01-15 13:34:24.238] Speed=50.0 km/h, RPM=1637, APS_in=(0.897V,1.738V), APS_out=(0.902V,1.746V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:24.346] Speed=50.0 km/h, RPM=1650, APS_in=(0.907V,1.748V), APS_out=(0.902V,1.746V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:24.471] Speed=50.0 km/h, RPM=1650, APS_in=(0.906V,1.744V), APS_out=(0.902V,1.746V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:24.471] Speed=50.0 km/h, RPM=1650, APS_in=(0.925V,1.766V), APS_out=(0.902V,1.746V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:24.577] Speed=50.0 km/h, RPM=1737, APS_in=(0.925V,1.764V), APS_out=(0.902V,1.746V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:24.681] Speed=50.0 km/h, RPM=1750, APS_in=(0.935V,1.777V), APS_out=(0.894V,1.738V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:24.788] Speed=50.0 km/h, RPM=1787, APS_in=(0.930V,1.772V), APS_out=(0.868V,1.712V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:24.898] Speed=50.0 km/h, RPM=1787, APS_in=(0.929V,1.772V), APS_out=(0.868V,1.712V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:25.006] Speed=50.0 km/h, RPM=1787, APS_in=(0.929V,1.772V), APS_out=(0.868V,1.712V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:25.120] Speed=50.0 km/h, RPM=1912, APS_in=(0.932V,1.777V), APS_out=(0.868V,1.712V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:25.228] Speed=52.0 km/h, RPM=1950, APS_in=(0.920V,1.760V), APS_out=(0.724V,1.568V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:25.338] Speed=52.0 km/h, RPM=2000, APS_in=(0.906V,1.747V), APS_out=(0.724V,1.568V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:25.449] Speed=52.0 km/h, RPM=2050, APS_in=(0.906V,1.750V), APS_out=(0.724V,1.568V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:25.554] Speed=52.0 km/h, RPM=2112, APS_in=(0.903V,1.739V), APS_out=(0.724V,1.568V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:25.668] Speed=52.0 km/h, RPM=2175, APS_in=(0.892V,1.730V), APS_out=(0.724V,1.568V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:25.668] Speed=52.0 km/h, RPM=2200, APS_in=(0.901V,1.739V), APS_out=(0.724V,1.568V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:25.771] Speed=52.0 km/h, RPM=2200, APS_in=(0.892V,1.732V), APS_out=(0.724V,1.568V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:25.887] Speed=52.0 km/h, RPM=2262, APS_in=(0.906V,1.744V), APS_out=(0.724V,1.568V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:25.988] Speed=52.0 km/h, RPM=2287, APS_in=(0.897V,1.736V), APS_out=(0.724V,1.568V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:26.105] Speed=52.0 km/h, RPM=2312, APS_in=(0.898V,1.738V), APS_out=(0.724V,1.568V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:26.215] Speed=52.0 km/h, RPM=2312, APS_in=(0.906V,1.744V), APS_out=(0.708V,1.552V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:26.321] Speed=52.0 km/h, RPM=2312, APS_in=(0.906V,1.742V), APS_out=(0.692V,1.536V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:26.321] STATE OVERSHOOT_CONTROL -> LIMIT_ACTIVE
[2026-01-15 13:34:26.436] Speed=52.0 km/h, RPM=2312, APS_in=(0.906V,1.745V), APS_out=(0.692V,1.536V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:26.538] Speed=52.0 km/h, RPM=2375, APS_in=(0.898V,1.736V), APS_out=(0.692V,1.536V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:26.654] Speed=52.0 km/h, RPM=2387, APS_in=(0.906V,1.742V), APS_out=(0.692V,1.536V), Relay=ON, State=LIMIT_ACTIVE, Accel=-23.81 km/h/s
[2026-01-15 13:34:26.755] Speed=52.0 km/h, RPM=2387, APS_in=(0.917V,1.757V), APS_out=(0.692V,1.536V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:26.871] Speed=52.0 km/h, RPM=2387, APS_in=(0.916V,1.754V), APS_out=(0.692V,1.536V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:26.871] Speed=52.0 km/h, RPM=2387, APS_in=(0.910V,1.744V), APS_out=(0.692V,1.536V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:26.987] Speed=52.0 km/h, RPM=2387, APS_in=(0.917V,1.758V), APS_out=(0.692V,1.536V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:34:27.082] STATE LIMIT_ACTIVE -> OVERSHOOT_CONTROL
[2026-01-15 13:34:27.082] Speed=52.0 km/h, RPM=2375, APS_in=(0.911V,1.755V), APS_out=(0.662V,1.506V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:27.204] Speed=56.0 km/h, RPM=2375, APS_in=(0.908V,1.742V), APS_out=(0.578V,1.422V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:27.302] Speed=56.0 km/h, RPM=2375, APS_in=(0.911V,1.754V), APS_out=(0.428V,1.272V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=25.00 km/h/s
[2026-01-15 13:34:27.411] Speed=56.0 km/h, RPM=2375, APS_in=(0.908V,1.750V), APS_out=(0.358V,1.202V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:27.521] Speed=56.0 km/h, RPM=2325, APS_in=(0.925V,1.764V), APS_out=(0.350V,1.152V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:27.634] Speed=56.0 km/h, RPM=2275, APS_in=(0.908V,1.751V), APS_out=(0.350V,1.102V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:27.738] Speed=56.0 km/h, RPM=2275, APS_in=(0.922V,1.764V), APS_out=(0.350V,1.052V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:27.854] Speed=56.0 km/h, RPM=2275, APS_in=(0.913V,1.754V), APS_out=(0.350V,1.002V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:27.966] Speed=56.0 km/h, RPM=2275, APS_in=(0.917V,1.757V), APS_out=(0.350V,0.952V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:27.966] Speed=56.0 km/h, RPM=2275, APS_in=(0.911V,1.755V), APS_out=(0.350V,0.902V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:28.073] Speed=56.0 km/h, RPM=2275, APS_in=(0.911V,1.764V), APS_out=(0.350V,0.852V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:28.187] Speed=58.0 km/h, RPM=2275, APS_in=(0.906V,1.757V), APS_out=(0.350V,0.792V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=25.00 km/h/s
[2026-01-15 13:34:28.288] Speed=56.0 km/h, RPM=2275, APS_in=(0.906V,1.755V), APS_out=(0.350V,0.742V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:28.395] Speed=56.0 km/h, RPM=1550, APS_in=(0.894V,1.742V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:28.505] Speed=56.0 km/h, RPM=1550, APS_in=(0.894V,1.742V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:28.615] Speed=56.0 km/h, RPM=1462, APS_in=(0.898V,1.745V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:28.737] Speed=56.0 km/h, RPM=1437, APS_in=(0.904V,1.750V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:34:28.838] Speed=56.0 km/h, RPM=1437, APS_in=(0.917V,1.769V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
